# Option 7. Preprocessing description: encoding only, imputing, no cutoff, drop high corr
age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
47,9.0,1.0,5.0,0,1,0,0,5,2,3,-1,0,0,93.994,-36.4,4.857,0
45,0.0,1.0,3.0,0,0,0,0,5,3,2,-1,0,0,93.994,-36.4,4.857,0
36,4.0,2.0,3.0,0,1,0,1,4,1,1,-1,0,0,93.075,-47.1,1.405,0
53,0.0,1.0,6.0,0,0,1,1,6,1,1,-1,0,0,92.963,-40.8,1.215,0
48,1.0,1.0,2.0,0,1,0,0,5,3,6,-1,0,0,93.994,-36.4,4.858,0
42,9.0,1.0,5.0,0,1,1,1,8,1,2,-1,0,0,93.444,-36.1,4.963,0
37,9.0,1.0,6.0,0,0,0,1,11,4,1,-1,0,0,93.2,-42.0,4.076,0
74,5.0,0.0,0.0,0,1,0,1,10,1,2,-1,0,0,94.601,-49.5,1.0,0
45,0.0,1.0,6.0,0,0,0,1,7,2,4,-1,0,0,93.918,-42.7,4.961,0
53,9.0,1.0,5.0,0,0,0,0,6,5,6,-1,0,0,94.465,-41.8,4.959,0
46,1.0,1.0,0.0,0,0,1,0,5,5,8,-1,0,0,93.994,-36.4,4.864,0
38,9.0,0.0,3.0,0,0,0,1,8,1,2,-1,0,0,93.444,-36.1,4.965,0
31,0.0,2.0,6.0,0,1,0,1,7,2,1,-1,0,0,93.918,-42.7,4.961,0
54,4.0,0.0,6.0,0,1,0,0,5,2,3,-1,0,0,93.994,-36.4,4.856,0
40,7.0,1.0,3.0,0,1,0,0,6,3,6,-1,0,0,94.465,-41.8,4.959,0
37,9.0,1.0,5.0,0,1,0,1,7,5,5,-1,0,0,93.918,-42.7,4.957,0
24,4.0,2.0,6.0,0,0,1,0,11,1,1,-1,0,0,93.2,-42.0,4.406,0
29,0.0,1.0,3.0,0,1,0,1,9,4,3,-1,0,0,94.199,-37.5,0.879,0
29,1.0,1.0,3.0,0,1,0,1,5,3,1,-1,0,0,92.893,-46.2,1.281,0
40,1.0,1.0,2.0,0,1,0,1,5,2,3,-1,0,0,92.893,-46.2,1.344,0
46,0.0,1.0,3.0,0,1,0,0,6,1,2,-1,0,0,94.465,-41.8,4.96,0
47,7.0,1.0,3.0,0,1,1,0,5,1,6,-1,0,0,93.994,-36.4,4.858,0
25,1.0,1.0,0.0,0,0,1,0,7,4,2,-1,0,0,93.918,-42.7,4.958,1
41,3.0,1.0,0.0,0,0,0,1,8,4,1,-1,0,0,93.444,-36.1,4.964,0
50,0.0,1.0,3.0,0,0,0,1,7,3,3,-1,0,0,92.469,-33.6,1.085,1
25,8.0,2.0,3.0,0,0,0,0,4,3,1,-1,0,0,93.075,-47.1,1.415,1
47,0.0,1.0,6.0,0,0,1,0,5,2,2,-1,0,0,93.994,-36.4,4.856,0
59,3.0,1.0,1.0,0,0,0,0,6,5,3,-1,0,0,94.465,-41.8,4.947,0
34,1.0,2.0,0.0,0,0,0,1,7,3,2,-1,0,0,93.918,-42.7,4.963,0
48,1.0,1.0,2.0,0,0,0,1,8,1,3,-1,0,0,93.444,-36.1,4.963,1
37,2.0,1.0,6.0,0,0,1,0,5,5,2,-1,0,0,93.994,-36.4,4.857,0
41,9.0,0.0,0.0,0,1,0,0,6,5,2,-1,0,0,94.465,-41.8,4.967,0
53,4.0,1.0,6.0,0,0,1,0,7,2,3,-1,0,0,93.918,-42.7,4.955,0
49,1.0,1.0,2.0,0,0,0,1,5,4,2,-1,0,0,92.893,-46.2,1.327,0
24,0.0,2.0,3.0,0,1,1,0,7,4,1,-1,0,0,93.918,-42.7,4.966,0
30,9.0,2.0,6.0,0,1,0,1,8,4,2,-1,0,0,93.444,-36.1,4.968,0
44,9.0,0.0,5.0,0,0,0,0,5,3,1,-1,0,0,93.994,-36.4,4.858,0
41,7.0,1.0,3.0,0,0,0,0,5,5,2,-1,0,0,93.994,-36.4,4.857,0
36,9.0,1.0,5.0,0,0,0,0,6,5,3,-1,0,0,94.465,-41.8,4.967,0
36,4.0,1.0,6.0,0,0,1,1,5,1,4,-1,0,0,92.893,-46.2,1.354,0
30,0.0,2.0,3.0,0,1,0,1,5,1,1,-1,0,0,92.893,-46.2,1.244,0
51,0.0,0.0,2.0,0,1,0,0,5,1,1,-1,0,0,93.994,-36.4,4.857,0
34,0.0,1.0,6.0,0,1,1,1,8,2,3,-1,0,0,93.444,-36.1,4.963,0
68,5.0,2.0,6.0,0,0,0,1,9,1,2,-1,1,-1,92.379,-29.8,0.739,0
46,1.0,1.0,1.0,0,0,0,0,6,4,10,-1,0,0,94.465,-41.8,4.961,0
29,7.0,2.0,3.0,0,1,0,0,5,4,1,-1,0,0,93.876,-40.0,0.699,1
43,4.0,1.0,6.0,0,1,0,1,11,4,4,-1,1,-1,93.2,-42.0,4.076,0
39,0.0,1.0,3.0,0,0,0,1,5,4,1,-1,0,0,92.893,-46.2,1.266,0
32,1.0,2.0,5.0,0,0,0,1,5,2,6,-1,1,-1,92.893,-46.2,1.291,0
42,2.0,1.0,2.0,0,1,0,1,4,4,3,-1,0,0,93.075,-47.1,1.41,0
53,6.0,2.0,6.0,0,0,1,1,11,4,2,-1,1,-1,93.2,-42.0,4.076,0
28,9.0,0.0,5.0,0,1,0,0,5,4,1,-1,0,0,93.994,-36.4,4.86,0
33,10.0,1.0,2.0,0,1,0,0,11,3,1,-1,0,0,93.2,-42.0,4.12,0
46,1.0,1.0,0.0,0,0,0,1,8,1,3,-1,0,0,93.444,-36.1,4.965,0
33,0.0,1.0,6.0,0,1,0,1,8,5,10,-1,0,0,93.444,-36.1,4.963,0
36,0.0,2.0,6.0,0,1,0,1,8,4,3,-1,0,0,93.444,-36.1,4.962,0
35,7.0,1.0,2.0,0,0,0,1,4,4,1,-1,0,0,93.075,-47.1,1.435,0
41,2.0,1.0,0.0,0,1,0,0,6,3,2,-1,0,0,94.465,-41.8,4.864,0
34,0.0,1.0,6.0,0,0,0,0,7,3,4,-1,0,0,93.918,-42.7,4.963,0
31,2.0,0.0,6.0,0,0,0,1,7,5,7,-1,0,0,93.918,-42.7,4.963,0
45,1.0,2.0,1.0,0,1,0,0,5,3,5,-1,0,0,93.994,-36.4,4.856,0
47,6.0,1.0,0.0,0,1,0,0,6,2,8,-1,0,0,94.465,-41.8,4.864,0
42,0.0,2.0,6.0,0,1,0,0,6,3,2,-1,0,0,92.963,-40.8,1.26,0
51,9.0,1.0,6.0,0,1,0,1,6,2,1,10,1,1,94.055,-39.8,0.702,1
48,7.0,0.0,3.0,0,0,1,1,7,1,4,-1,0,0,93.918,-42.7,4.96,0
27,0.0,2.0,3.0,0,0,0,1,7,2,1,-1,0,0,93.918,-42.7,4.962,0
69,0.0,1.0,6.0,0,1,1,1,9,2,2,3,1,1,92.379,-29.8,0.77,0
28,6.0,2.0,6.0,0,1,0,0,3,3,1,-1,1,-1,93.369,-34.8,0.651,0
28,7.0,1.0,3.0,0,0,0,1,7,2,1,-1,0,0,93.918,-42.7,4.962,0
39,4.0,1.0,6.0,0,0,0,1,8,4,6,-1,0,0,93.444,-36.1,4.968,1
52,6.0,2.0,5.0,0,0,1,1,11,4,1,-1,0,0,93.2,-42.0,4.076,0
55,9.0,1.0,6.0,0,1,0,1,8,3,2,-1,0,0,93.444,-36.1,4.965,0
50,7.0,2.0,3.0,0,1,0,1,7,3,2,-1,0,0,93.918,-42.7,4.963,0
40,1.0,1.0,0.0,0,1,1,1,11,4,1,-1,0,0,93.2,-42.0,4.076,0
50,1.0,1.0,1.0,0,1,0,0,5,1,4,3,2,1,92.893,-46.2,1.354,1
35,1.0,1.0,5.0,0,1,0,1,11,1,1,-1,0,0,93.2,-42.0,4.191,0
31,1.0,1.0,2.0,0,1,0,0,6,2,1,-1,0,0,94.465,-41.8,4.864,0
35,0.0,2.0,6.0,0,0,1,0,5,3,3,-1,0,0,93.994,-36.4,4.857,0
35,1.0,1.0,1.0,0,1,0,1,5,2,1,-1,0,0,92.893,-46.2,1.344,0
48,0.0,0.0,6.0,0,0,0,1,5,2,9,-1,0,0,92.893,-46.2,1.291,0
43,0.0,1.0,3.0,0,1,1,1,7,1,2,-1,0,0,93.918,-42.7,4.962,0
44,7.0,1.0,3.0,0,1,0,1,4,5,1,-1,2,-1,93.075,-47.1,1.479,0
46,0.0,1.0,6.0,0,1,0,1,8,2,2,-1,0,0,93.444,-36.1,4.965,0
33,6.0,2.0,3.0,0,1,0,1,5,2,1,-1,1,-1,92.893,-46.2,1.291,0
38,1.0,1.0,1.0,0,0,0,0,6,2,1,-1,0,0,94.465,-41.8,4.864,0
51,6.0,2.0,2.0,0,1,0,1,11,4,1,-1,0,0,92.649,-30.1,0.714,1
48,7.0,1.0,0.0,0,1,0,1,8,2,1,-1,0,0,93.444,-36.1,4.965,0
46,4.0,1.0,6.0,0,0,1,1,7,5,2,-1,0,0,93.918,-42.7,4.962,0
78,5.0,1.0,0.0,0,0,1,1,8,3,1,-1,0,0,92.201,-31.4,0.834,0
34,9.0,0.0,5.0,0,0,0,0,8,5,1,-1,0,0,93.444,-36.1,4.964,0
46,4.0,1.0,6.0,0,0,0,1,5,1,2,-1,0,0,92.893,-46.2,1.299,0
46,0.0,1.0,3.0,0,1,0,0,6,1,6,-1,0,0,94.465,-41.8,4.961,0
54,9.0,0.0,3.0,0,0,0,1,8,1,4,-1,0,0,93.444,-36.1,4.97,0
31,0.0,2.0,6.0,0,1,0,1,4,1,3,-1,0,0,93.075,-47.1,1.405,0
26,8.0,2.0,2.0,0,0,1,1,3,1,4,-1,0,0,92.843,-50.0,1.811,0
55,1.0,1.0,0.0,0,1,0,1,8,1,1,-1,0,0,93.444,-36.1,4.97,0
33,9.0,1.0,5.0,0,0,1,1,4,5,1,-1,1,-1,93.075,-47.1,1.405,1
30,7.0,2.0,3.0,0,1,0,1,7,5,2,-1,0,0,93.918,-42.7,4.963,0
36,7.0,1.0,3.0,0,0,0,0,7,3,2,-1,0,0,94.215,-40.3,0.802,1
30,1.0,2.0,3.0,0,1,0,1,7,2,6,-1,0,0,93.918,-42.7,4.961,0
36,1.0,2.0,0.0,0,0,0,0,5,5,1,-1,0,0,93.994,-36.4,4.855,0
35,0.0,2.0,6.0,0,1,0,1,7,5,2,-1,0,0,93.918,-42.7,4.963,0
42,9.0,2.0,5.0,0,1,0,1,7,2,6,-1,0,0,93.918,-42.7,4.961,0
45,0.0,1.0,3.0,0,1,0,1,8,5,2,-1,0,0,93.444,-36.1,4.963,0
49,1.0,1.0,2.0,0,1,0,1,11,3,1,-1,1,-1,93.2,-42.0,4.12,0
26,9.0,2.0,5.0,0,0,0,0,5,4,1,-1,0,0,93.994,-36.4,4.86,0
33,4.0,2.0,6.0,0,1,1,0,5,5,2,-1,0,0,93.994,-36.4,4.855,0
38,0.0,1.0,3.0,0,1,0,1,11,1,1,-1,1,-1,92.649,-30.1,0.714,0
33,1.0,1.0,1.0,0,0,0,0,5,1,1,-1,0,0,93.876,-40.0,0.682,0
41,9.0,1.0,3.0,0,0,0,0,5,2,1,-1,0,0,93.994,-36.4,4.857,0
34,9.0,2.0,6.0,0,1,0,1,8,2,3,-1,0,0,93.444,-36.1,4.963,0
49,0.0,1.0,6.0,0,1,0,1,8,4,1,-1,0,0,93.444,-36.1,4.963,0
51,9.0,1.0,5.0,0,0,1,0,5,4,1,-1,0,0,93.994,-36.4,4.855,0
52,1.0,1.0,2.0,0,0,0,1,8,2,3,-1,0,0,93.444,-36.1,4.963,0
31,10.0,2.0,0.0,0,1,0,0,11,5,9,-1,0,0,93.2,-42.0,4.021,0
39,0.0,2.0,6.0,0,0,1,0,5,5,4,-1,0,0,93.994,-36.4,4.857,0
47,0.0,1.0,6.0,0,1,1,1,6,2,1,-1,0,0,92.963,-40.8,1.206,0
26,7.0,2.0,2.0,0,1,0,1,7,3,2,-1,0,0,93.918,-42.7,4.957,0
39,9.0,2.0,5.0,0,0,0,1,5,2,1,-1,1,-1,92.893,-46.2,1.291,0
32,9.0,2.0,3.0,0,1,0,0,5,3,1,-1,0,0,93.994,-36.4,4.857,0
37,1.0,1.0,2.0,0,0,0,1,5,3,7,-1,0,0,92.893,-46.2,1.27,0
36,7.0,1.0,1.0,0,1,0,1,5,1,6,-1,1,-1,92.893,-46.2,1.299,0
38,9.0,2.0,6.0,0,0,0,1,11,2,1,-1,1,-1,93.2,-42.0,4.153,0
38,0.0,2.0,6.0,0,1,0,1,4,1,1,-1,1,-1,93.075,-47.1,1.405,0
31,7.0,1.0,3.0,0,0,0,0,5,2,1,-1,0,0,93.994,-36.4,4.857,0
52,0.0,1.0,3.0,0,1,0,1,5,1,1,-1,0,0,92.893,-46.2,1.244,0
51,2.0,0.0,6.0,0,0,0,0,6,1,2,-1,0,0,94.465,-41.8,4.961,0
46,7.0,1.0,3.0,0,0,0,1,7,4,1,-1,0,0,93.918,-42.7,4.968,0
27,9.0,2.0,5.0,0,0,0,1,5,4,1,-1,0,0,92.893,-46.2,1.266,0
58,9.0,0.0,2.0,0,0,0,0,6,5,3,-1,0,0,94.465,-41.8,4.967,0
39,1.0,1.0,2.0,0,0,0,1,7,2,2,-1,0,0,93.918,-42.7,4.961,0
52,9.0,1.0,3.0,0,1,0,0,6,3,1,-1,0,0,94.465,-41.8,4.959,0
36,1.0,2.0,2.0,0,0,1,0,5,4,3,-1,0,0,93.994,-36.4,4.86,0
36,0.0,0.0,3.0,0,1,0,1,5,2,5,-1,0,0,92.893,-46.2,1.344,0
34,9.0,2.0,5.0,0,0,0,1,5,1,1,-1,1,-1,92.893,-46.2,1.299,0
32,0.0,1.0,6.0,0,1,1,1,11,4,1,-1,0,0,93.2,-42.0,4.076,0
48,1.0,1.0,3.0,0,0,0,0,5,3,1,-1,0,0,93.994,-36.4,4.856,0
37,9.0,1.0,6.0,0,0,0,0,5,2,3,-1,0,0,93.994,-36.4,4.857,0
49,0.0,1.0,3.0,0,0,0,1,8,4,2,-1,0,0,93.444,-36.1,4.964,0
42,10.0,1.0,3.0,0,1,1,0,5,1,1,-1,0,0,93.994,-36.4,4.857,0
34,9.0,2.0,5.0,0,1,1,0,8,1,1,-1,0,0,93.444,-36.1,4.97,0
52,6.0,1.0,6.0,0,1,1,0,6,1,1,-1,0,0,94.465,-41.8,4.961,0
26,9.0,2.0,6.0,0,1,0,1,5,4,4,2,1,1,92.893,-46.2,1.27,1
44,9.0,2.0,5.0,0,1,1,1,7,4,1,-1,0,0,93.918,-42.7,4.958,0
53,1.0,1.0,0.0,0,1,1,0,7,5,7,-1,0,0,93.918,-42.7,4.957,0
32,1.0,2.0,1.0,0,1,0,0,5,5,6,-1,0,0,92.893,-46.2,1.25,0
42,4.0,1.0,6.0,0,0,0,1,4,5,2,-1,0,0,93.075,-47.1,1.405,0
34,0.0,1.0,3.0,0,0,0,0,6,3,1,-1,0,0,94.465,-41.8,4.864,1
29,1.0,1.0,5.0,0,0,0,0,5,3,5,-1,0,0,93.994,-36.4,4.857,0
34,4.0,1.0,6.0,0,1,0,0,5,5,3,-1,1,-1,92.893,-46.2,1.313,0
52,7.0,1.0,3.0,0,1,0,1,5,5,1,-1,1,-1,92.893,-46.2,1.313,0
39,9.0,1.0,5.0,0,1,0,0,5,3,2,-1,0,0,93.994,-36.4,4.858,0
34,0.0,0.0,5.0,0,1,1,1,5,2,2,-1,0,0,92.893,-46.2,1.291,0
41,4.0,1.0,6.0,0,1,0,1,4,5,1,-1,0,0,93.075,-47.1,1.405,0
36,9.0,1.0,6.0,0,0,0,0,5,3,2,-1,0,0,93.994,-36.4,4.857,0
42,7.0,1.0,1.0,0,0,0,1,11,4,7,-1,1,-1,93.2,-42.0,4.076,0
35,9.0,1.0,5.0,0,1,0,1,5,5,5,-1,0,0,92.893,-46.2,1.313,0
63,5.0,1.0,5.0,0,0,0,1,12,1,1,-1,1,-1,92.713,-33.0,0.706,0
41,1.0,2.0,2.0,0,1,0,1,11,5,1,-1,0,0,93.2,-42.0,4.021,0
36,1.0,1.0,1.0,0,1,0,0,6,3,1,-1,0,0,94.465,-41.8,4.959,0
36,6.0,0.0,6.0,0,1,0,1,11,3,1,-1,0,0,93.2,-42.0,4.12,0
42,1.0,1.0,2.0,0,1,0,1,7,3,10,-1,0,0,93.918,-42.7,4.962,0
40,7.0,1.0,3.0,0,1,1,0,5,5,9,-1,0,0,93.994,-36.4,4.864,0
34,9.0,1.0,3.0,0,1,0,1,8,4,5,-1,0,0,93.444,-36.1,4.968,0
58,6.0,1.0,6.0,0,1,0,1,5,1,1,-1,0,0,92.893,-46.2,1.244,0
35,1.0,1.0,2.0,0,0,1,1,12,4,3,-1,2,-1,92.713,-33.0,0.707,0
42,1.0,1.0,2.0,0,0,0,0,6,3,6,-1,0,0,94.465,-41.8,4.864,0
37,0.0,1.0,6.0,0,1,1,1,4,1,1,-1,0,0,93.075,-47.1,1.405,0
32,0.0,1.0,5.0,0,0,1,1,10,2,1,6,1,1,92.431,-26.9,0.742,1
30,9.0,1.0,5.0,0,1,0,1,7,1,11,-1,0,0,93.918,-42.7,4.96,0
32,9.0,2.0,3.0,0,0,0,1,8,2,5,-1,0,0,93.444,-36.1,4.965,0
33,6.0,1.0,6.0,0,1,0,1,8,1,3,-1,0,0,93.444,-36.1,4.965,0
36,9.0,1.0,6.0,0,1,1,1,10,4,2,-1,0,0,92.431,-26.9,0.722,0
53,1.0,1.0,3.0,0,1,0,1,7,1,4,-1,0,0,93.918,-42.7,4.962,0
56,1.0,1.0,0.0,0,1,0,0,5,2,10,-1,0,0,93.994,-36.4,4.856,0
35,0.0,1.0,6.0,0,1,0,1,10,4,1,-1,1,-1,92.431,-26.9,0.74,0
34,1.0,1.0,1.0,0,0,0,0,5,2,1,-1,0,0,93.994,-36.4,4.856,0
44,0.0,1.0,2.0,0,1,1,1,8,4,6,-1,0,0,93.444,-36.1,4.962,1
59,1.0,1.0,2.0,0,0,0,0,6,3,1,-1,0,0,94.465,-41.8,4.864,0
49,0.0,1.0,6.0,0,1,0,1,8,4,1,-1,0,0,93.444,-36.1,4.964,0
34,1.0,1.0,0.0,0,0,0,0,6,2,13,-1,0,0,94.465,-41.8,4.864,0
47,3.0,1.0,0.0,0,0,1,1,8,2,1,-1,0,0,93.444,-36.1,4.963,0
31,1.0,1.0,2.0,0,1,0,0,5,1,2,-1,0,0,93.994,-36.4,4.857,0
49,1.0,1.0,0.0,0,1,0,0,6,4,2,-1,0,0,94.465,-41.8,4.866,0
41,0.0,0.0,6.0,0,0,0,0,11,4,4,-1,1,-1,93.2,-42.0,4.076,0
31,1.0,1.0,2.0,0,1,0,1,11,4,2,-1,0,0,93.2,-42.0,4.076,0
42,4.0,1.0,6.0,0,1,0,1,8,4,5,-1,0,0,93.444,-36.1,4.968,0
50,1.0,0.0,0.0,0,1,0,0,6,1,3,-1,0,0,94.465,-41.8,4.96,0
39,9.0,1.0,3.0,0,0,0,1,8,2,1,-1,0,0,93.444,-36.1,4.966,0
47,9.0,0.0,3.0,0,1,0,1,7,4,3,-1,0,0,93.918,-42.7,4.962,0
37,0.0,1.0,6.0,0,0,0,0,6,2,4,-1,0,0,94.465,-41.8,4.864,0
52,1.0,1.0,0.0,0,0,0,1,8,5,1,-1,0,0,93.444,-36.1,4.966,0
39,9.0,2.0,6.0,0,1,0,1,5,5,1,-1,0,0,92.893,-46.2,1.259,0
38,3.0,1.0,0.0,0,0,0,1,7,2,2,-1,0,0,93.918,-42.7,4.961,0
29,9.0,2.0,5.0,0,0,0,1,8,3,1,-1,0,0,93.444,-36.1,4.964,0
40,7.0,1.0,0.0,0,1,0,1,5,5,1,-1,2,-1,92.893,-46.2,1.313,0
35,7.0,2.0,3.0,0,0,0,1,5,4,1,-1,1,-1,92.893,-46.2,1.327,0
56,5.0,1.0,0.0,0,1,0,1,6,3,2,3,2,1,94.055,-39.8,0.767,1
46,1.0,1.0,0.0,0,1,0,0,6,1,1,-1,0,0,94.465,-41.8,4.96,0
