age,marital,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_management,job_other,job_services,job_technician,education_basic.9y,education_high.school,education_other,education_professional.course,education_university.degree
34,1,0,0,1,6,2,423.0,1,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
39,0,0,0,0,11,1,310.0,1,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,0,0,0,1,0,0,0,0
33,1,1,0,0,8,4,370.0,2,0,1.4,93.444,-36.1,4.964,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
48,0,1,0,1,5,1,41.0,2,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,1,0,0,0,1,0
57,0,0,0,0,7,2,101.0,1,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
47,0,1,0,0,5,5,173.0,1,1,-1.8,92.893,-46.2,1.313,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
51,0,1,0,0,8,4,76.0,1,0,1.4,93.444,-36.1,4.963,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
38,1,1,0,1,6,2,267.0,1,0,1.4,94.465,-41.8,4.864,5228.1,0,0,0,0,0,0,1,0,0,0,0,1
45,1,0,0,0,6,1,58.0,2,0,-2.9,92.963,-40.8,1.281,5076.2,0,0,0,0,0,1,0,0,0,1,0,0
34,0,1,0,1,5,5,252.0,4,0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,1,0,0,0,0,0,1,0
28,1,1,0,0,8,3,453.0,1,1,-1.7,94.027,-38.3,0.9,4991.6,0,0,0,0,1,0,0,0,0,1,0,0
39,2,1,0,0,11,2,194.0,1,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0,0,0,1,0,0,1,0,0,0
50,0,0,0,0,11,5,402.0,4,1,-0.1,93.2,-42.0,4.021,5195.8,0,0,0,0,0,0,1,0,0,0,1,0
29,0,1,0,1,5,5,8.0,7,0,-1.8,92.893,-46.2,1.25,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
31,1,0,0,0,9,5,252.0,2,2,-1.1,94.199,-37.5,0.883,4963.6,1,1,0,0,0,0,0,0,1,0,0,0
34,1,1,1,1,5,4,35.0,1,0,1.1,93.994,-36.4,4.86,5191.0,0,0,0,0,1,0,0,0,0,0,0,1
38,0,1,1,0,4,4,117.0,1,0,-1.8,93.075,-47.1,1.406,5099.1,0,0,0,0,0,0,1,0,0,0,1,0
43,0,1,0,1,5,5,93.0,3,0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,1,0,0,0
40,0,0,0,1,6,4,101.0,11,0,1.4,94.465,-41.8,4.866,5228.1,0,0,1,0,0,0,0,1,0,0,0,0
28,0,1,0,1,5,3,175.0,1,0,1.1,93.994,-36.4,4.856,5191.0,0,1,0,0,0,0,0,0,1,0,0,0
37,0,1,0,0,5,1,185.0,1,1,-1.8,92.893,-46.2,1.244,5099.1,0,0,1,0,0,0,0,0,0,0,1,0
46,2,1,0,0,5,3,403.0,1,1,-1.8,92.893,-46.2,1.334,5099.1,0,0,0,0,0,1,0,1,0,0,0,0
54,0,1,0,1,5,5,265.0,4,1,-1.8,92.893,-46.2,1.313,5099.1,0,0,0,0,0,0,1,0,0,0,0,1
49,0,1,0,1,6,1,242.0,4,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0,0,0,1,0,0,0,0
43,0,0,1,1,5,1,127.0,2,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0
30,2,1,0,1,5,4,49.0,1,0,1.1,93.994,-36.4,4.86,5191.0,0,0,0,0,0,1,0,1,0,0,0,0
36,0,1,0,0,5,3,181.0,1,0,-1.8,92.893,-46.2,1.334,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
44,0,1,1,0,4,3,154.0,1,0,-1.8,93.075,-47.1,1.415,5099.1,0,0,0,1,0,0,0,0,0,1,0,0
31,1,0,0,1,6,2,166.0,1,0,1.4,94.465,-41.8,4.864,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
31,0,0,0,1,5,5,109.0,1,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
35,0,1,0,1,9,3,234.0,1,0,-3.4,92.379,-29.8,0.753,5017.5,1,1,0,0,0,0,0,0,0,0,0,1
31,0,1,1,0,7,5,69.0,2,0,1.4,93.918,-42.7,4.963,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
53,2,1,0,1,5,3,111.0,3,0,1.1,93.994,-36.4,4.858,5191.0,0,0,0,0,1,0,0,0,1,0,0,0
53,0,1,0,0,8,1,62.0,6,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
37,0,0,0,1,5,3,112.0,1,0,1.1,93.994,-36.4,4.858,5191.0,0,0,0,0,0,1,0,0,1,0,0,0
34,0,0,0,1,5,4,278.0,2,0,1.1,93.994,-36.4,4.86,5191.0,1,0,0,0,0,1,0,0,1,0,0,0
41,0,1,0,1,5,3,446.0,2,0,1.1,93.994,-36.4,4.858,5191.0,0,0,0,0,0,0,1,0,0,0,1,0
31,0,1,0,0,5,3,148.0,2,0,-1.8,92.893,-46.2,1.334,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
34,0,1,0,0,11,3,174.0,1,0,-0.1,93.2,-42.0,4.12,5195.8,0,1,0,0,0,0,0,0,0,0,0,1
39,0,1,0,0,5,5,364.0,2,0,-1.8,92.893,-46.2,1.25,5099.1,0,1,0,0,0,0,0,0,0,0,0,1
43,0,1,0,1,5,5,206.0,2,0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,1,0,0,0,1,0,0,0
28,1,0,0,0,5,4,282.0,1,1,-1.8,92.893,-46.2,1.266,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
62,1,1,1,0,5,1,112.0,1,0,-1.8,92.893,-46.2,1.264,5099.1,0,0,0,0,1,0,0,0,0,0,0,1
59,0,0,0,0,7,1,551.0,4,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,1,0,0,1,0,0,0,0
35,2,0,0,0,6,3,66.0,1,2,-1.7,94.055,-39.8,0.739,4991.6,0,0,0,0,0,0,1,0,0,0,1,0
36,1,0,0,1,6,1,301.0,6,0,1.4,94.465,-41.8,4.96,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
26,1,1,0,0,5,3,38.0,1,1,-1.8,92.893,-46.2,1.281,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
56,0,1,0,1,6,2,87.0,2,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,0,1,0,0
32,0,1,0,0,5,2,105.0,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
46,2,0,0,0,8,4,93.0,15,0,1.4,93.444,-36.1,4.962,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
30,0,1,0,1,5,1,304.0,3,0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,1
57,1,1,1,0,4,1,45.0,1,1,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,1,0,0,0,0,0,0,1
52,0,0,0,1,11,1,127.0,4,1,-0.1,93.2,-42.0,4.191,5195.8,0,0,0,1,0,0,0,0,0,0,0,1
40,0,1,0,0,4,4,179.0,1,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,0,1,0,0,0,0,0,1,0,0
44,0,0,0,0,7,4,42.0,3,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
38,0,0,0,1,7,3,56.0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
55,2,1,1,1,5,1,86.0,7,0,1.1,93.994,-36.4,4.858,5191.0,0,0,0,0,1,0,0,0,0,0,0,1
55,2,0,0,0,8,2,634.0,1,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
40,0,1,0,0,5,1,94.0,1,0,-1.8,92.893,-46.2,1.299,5099.1,0,0,0,0,0,0,1,0,0,0,1,0
38,0,1,0,1,5,2,231.0,1,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,1,0,0,0,1,0
49,0,0,0,0,5,2,97.0,3,1,-1.8,92.893,-46.2,1.291,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
39,2,0,1,0,7,4,481.0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,1,0,0,1,0,0,0
44,0,1,0,0,11,1,114.0,1,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,0,1,0,0,0,0,0,0,0,1
35,2,1,0,1,5,2,325.0,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,1
37,0,0,0,0,5,5,323.0,2,1,-1.8,92.893,-46.2,1.313,5099.1,0,0,1,0,0,0,0,0,1,0,0,0
44,0,0,0,0,7,1,175.0,3,0,1.4,93.918,-42.7,4.96,5228.1,1,0,0,0,1,0,0,0,0,1,0,0
56,0,1,0,1,5,3,199.0,3,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,0,0,0,1
30,1,0,0,0,5,5,208.0,2,0,-1.8,92.893,-46.2,1.25,5099.1,0,1,0,0,0,0,0,0,0,0,0,1
29,1,0,0,0,8,3,69.0,2,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,1,0,0,0,0,1
42,2,1,0,1,5,5,125.0,3,0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,1
50,0,1,0,1,6,5,7.0,12,0,1.4,94.465,-41.8,4.959,5228.1,0,0,0,0,1,0,0,1,0,0,0,0
29,1,0,0,0,4,5,489.0,2,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,1,0,0,0,0,0,0,1
52,0,1,0,1,6,4,166.0,2,0,1.4,94.465,-41.8,4.866,5228.1,0,0,0,0,0,0,1,1,0,0,0,0
39,0,0,0,1,6,2,264.0,9,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
46,0,1,0,0,9,3,408.0,1,0,-3.4,92.379,-29.8,0.781,5017.5,1,1,0,0,0,0,0,0,1,0,0,0
31,1,1,0,0,8,4,170.0,3,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,1,0,1,0,0,0
45,1,1,0,0,6,4,207.0,1,0,-2.9,92.963,-40.8,1.26,5076.2,1,1,0,0,0,0,0,0,0,0,0,1
57,2,1,0,1,6,2,45.0,2,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0,0,0,1,0,0,0,0
48,0,0,0,0,8,2,115.0,2,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
28,1,1,0,1,5,3,313.0,4,0,1.1,93.994,-36.4,4.859,5191.0,0,0,0,0,1,0,0,0,1,0,0,0
35,0,0,0,1,5,3,419.0,1,0,1.1,93.994,-36.4,4.858,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
56,0,0,0,0,4,4,284.0,1,1,-1.8,93.075,-47.1,1.365,5099.1,0,0,0,0,1,0,0,0,0,0,0,1
32,1,1,0,0,5,5,235.0,2,1,-1.8,92.893,-46.2,1.25,5099.1,0,1,0,0,0,0,0,0,0,1,0,0
39,2,0,0,0,7,3,174.0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,1,0,0,0,0,1,0,0
43,0,1,0,1,6,2,411.0,6,0,1.4,94.465,-41.8,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
36,0,0,0,0,11,2,255.0,3,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0,0,0,0,1,0,1,0,0,0
30,1,0,0,0,11,1,94.0,1,2,-3.4,92.649,-30.1,0.714,5017.5,0,0,1,0,0,0,0,0,1,0,0,0
36,0,1,0,1,5,1,23.0,10,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,1,0,0,0
58,0,1,0,1,6,5,165.0,2,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
39,0,0,0,0,11,1,71.0,1,1,-0.1,93.2,-42.0,4.191,5195.8,0,0,0,1,0,0,0,0,0,0,0,1
39,0,0,0,0,7,5,184.0,2,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
58,0,1,0,1,6,1,198.0,1,0,1.4,94.465,-41.8,4.865,5228.1,0,0,0,0,1,0,0,1,0,0,0,0
58,0,1,0,0,6,2,79.0,2,0,-2.9,92.963,-40.8,1.252,5076.2,0,0,0,0,1,0,0,0,0,1,0,0
34,0,1,0,0,8,4,239.0,3,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
27,1,1,0,0,9,2,126.0,2,0,-3.4,92.379,-29.8,0.77,5017.5,1,1,0,0,0,0,0,0,0,0,0,1
31,0,0,0,0,8,4,112.0,3,0,1.4,93.444,-36.1,4.968,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
26,1,0,0,0,5,3,424.0,1,0,-1.8,92.893,-46.2,1.27,5099.1,0,0,0,0,1,0,0,0,1,0,0,0
26,2,0,0,0,6,2,437.0,1,0,-2.9,92.963,-40.8,1.262,5076.2,1,0,0,0,0,0,1,0,0,0,0,1
56,0,1,0,0,7,3,328.0,2,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0,0,1,0,0,0,0,0,1,0
32,1,0,0,0,7,3,121.0,3,0,1.4,93.918,-42.7,4.963,5228.1,1,0,0,1,0,0,0,0,0,0,0,1
37,0,1,0,0,7,5,216.0,2,0,1.4,93.918,-42.7,4.963,5228.1,0,0,1,0,0,0,0,1,0,0,0,0
40,0,0,0,1,5,5,33.0,1,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0,0,0,0,0,1,0,0
36,0,0,0,0,8,5,314.0,3,0,1.4,93.444,-36.1,4.966,5228.1,0,0,0,0,0,0,1,0,1,0,0,0
45,0,0,0,0,9,3,213.0,4,2,-1.1,94.199,-37.5,0.88,4963.6,0,0,0,0,1,0,0,0,1,0,0,0
43,1,0,0,1,6,2,315.0,2,0,1.4,94.465,-41.8,4.961,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
35,1,0,0,0,8,4,26.0,17,0,1.4,93.444,-36.1,4.962,5228.1,0,0,0,0,0,0,1,0,0,0,0,1
30,0,0,0,1,5,5,107.0,1,0,1.1,93.994,-36.4,4.864,5191.0,1,1,0,0,0,0,0,0,0,0,0,1
35,0,1,1,0,7,5,283.0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,1,0,0,0,0,0,0,1,0,0,0
48,0,1,0,0,5,3,368.0,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
36,0,0,0,1,6,2,483.0,1,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
50,0,0,0,0,5,2,36.0,3,1,-1.8,92.893,-46.2,1.291,5099.1,0,0,0,0,0,0,1,0,0,1,0,0
43,1,0,0,0,5,2,139.0,2,0,-1.8,92.893,-46.2,1.291,5099.1,0,1,0,0,0,0,0,0,0,0,0,1
28,1,0,0,1,5,2,75.0,2,0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,1
32,1,1,0,0,8,2,297.0,1,0,1.4,93.444,-36.1,4.968,5228.1,0,0,0,0,0,0,1,0,0,0,0,1
28,0,1,0,0,7,4,263.0,2,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,1,0,0,0,0,0,0,1
24,1,1,0,0,7,3,55.0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,1,0,0,0,0,1,0
34,0,1,1,0,5,1,275.0,3,0,-1.8,92.893,-46.2,1.354,5099.1,0,0,0,0,0,1,0,0,0,0,1,0
64,0,1,0,0,8,1,79.0,2,1,-2.9,92.201,-31.4,0.843,5076.2,0,0,0,0,1,0,0,1,0,0,0,0
49,0,1,0,1,6,3,61.0,7,0,1.4,94.465,-41.8,4.962,5228.1,0,0,1,0,0,0,0,0,0,1,0,0
44,2,1,0,0,4,4,18.0,3,1,-1.8,93.075,-47.1,1.41,5099.1,0,0,0,0,0,0,1,0,0,0,1,0
53,0,1,0,0,4,1,476.0,3,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0,0,0,0,0,0,1,0
40,1,1,0,1,5,3,222.0,2,0,1.1,93.994,-36.4,4.859,5191.0,0,1,0,0,0,0,0,0,1,0,0,0
29,1,1,1,0,3,4,467.0,2,1,-1.8,93.369,-34.8,0.643,5008.7,1,0,0,0,0,0,1,0,0,0,1,0
44,2,1,0,0,5,2,494.0,1,0,-1.8,92.893,-46.2,1.291,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
25,1,0,0,0,8,5,248.0,1,0,-2.9,92.201,-31.4,0.825,5076.2,0,0,0,0,1,0,0,0,0,1,0,0
29,0,1,0,0,5,3,78.0,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
34,0,0,0,0,5,2,129.0,2,0,-1.8,92.893,-46.2,1.344,5099.1,0,0,1,0,0,0,0,1,0,0,0,0
44,1,1,0,1,8,2,27.0,1,0,-1.7,94.027,-38.3,0.886,4991.6,0,1,0,0,0,0,0,0,1,0,0,0
47,0,1,0,0,5,5,262.0,2,1,-1.8,92.893,-46.2,1.25,5099.1,1,0,1,0,0,0,0,0,1,0,0,0
40,0,1,0,0,8,2,110.0,2,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
37,0,1,0,1,5,3,191.0,1,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0,0,0,0,0,1,0,0
32,0,1,0,0,8,5,79.0,3,0,1.4,93.444,-36.1,4.966,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
36,0,1,0,0,8,1,56.0,2,0,1.4,93.444,-36.1,4.965,5228.1,0,1,0,0,0,0,0,0,0,0,0,1
28,0,1,0,0,5,4,402.0,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,0,0,0,0,0,1,0,0,0,0,1
53,0,0,0,0,11,5,11.0,2,0,-0.1,93.2,-42.0,4.021,5195.8,0,1,0,0,0,0,0,0,1,0,0,0
36,0,0,0,1,6,1,221.0,7,0,1.4,94.465,-41.8,4.865,5228.1,0,0,0,1,0,0,0,0,0,0,0,1
30,0,0,0,1,5,2,191.0,1,0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,1,0,0,0,0,1
41,2,1,0,1,5,1,23.0,6,0,-1.8,92.893,-46.2,1.244,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
57,0,0,1,0,5,1,161.0,1,0,-1.8,92.893,-46.2,1.299,5099.1,0,0,0,0,0,0,1,0,1,0,0,0
40,0,1,0,1,5,3,108.0,1,0,1.1,93.994,-36.4,4.859,5191.0,1,0,1,0,0,0,0,0,0,1,0,0
39,0,1,1,0,4,2,308.0,2,0,-1.8,93.075,-47.1,1.423,5099.1,0,1,0,0,0,0,0,0,0,0,0,1
41,2,1,0,1,5,4,187.0,1,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
38,0,1,0,0,5,3,57.0,2,1,-1.8,92.893,-46.2,1.334,5099.1,1,0,1,0,0,0,0,0,1,0,0,0
57,0,1,0,0,11,2,93.0,1,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,0,1,0,0,0,0,0,0,0,1
47,1,1,0,0,8,4,396.0,3,0,1.4,93.444,-36.1,4.963,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
55,2,1,0,1,5,1,252.0,4,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,1,0,0,0,1,0
33,1,0,0,0,6,3,206.0,1,1,-1.7,94.055,-39.8,0.715,4991.6,1,1,0,0,0,0,0,0,0,0,0,1
39,1,1,0,0,5,3,130.0,3,0,-1.8,92.893,-46.2,1.27,5099.1,0,1,0,0,0,0,0,0,1,0,0,0
43,0,1,0,0,5,3,255.0,2,1,-1.8,92.893,-46.2,1.281,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
44,0,1,0,1,5,1,136.0,4,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,1,0,0,0,0
52,0,1,0,1,11,5,332.0,2,1,-3.4,92.649,-30.1,0.714,5017.5,0,0,0,0,0,0,1,0,0,0,1,0
37,0,1,0,1,5,1,58.0,3,0,-1.8,92.893,-46.2,1.299,5099.1,0,0,0,0,0,1,0,0,1,0,0,0
58,0,0,0,1,6,4,322.0,2,0,1.4,94.465,-41.8,4.955,5228.1,0,0,0,0,0,1,0,0,0,1,0,0
40,1,1,0,0,8,3,84.0,1,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
37,1,0,0,0,5,2,247.0,1,0,-1.8,92.893,-46.2,1.344,5099.1,0,0,0,0,0,1,0,1,0,0,0,0
31,0,1,0,1,5,1,335.0,1,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,1,0,0,0
33,0,1,0,0,5,2,235.0,2,1,-1.8,92.893,-46.2,1.291,5099.1,0,0,1,0,0,0,0,0,0,1,0,0
34,1,1,0,1,5,3,148.0,2,0,1.1,93.994,-36.4,4.859,5191.0,0,0,0,0,1,0,0,0,0,0,0,1
32,0,1,0,0,11,4,282.0,2,0,-0.1,93.2,-42.0,4.076,5195.8,0,0,0,0,0,1,0,0,1,0,0,0
48,0,1,0,0,7,4,21.0,2,0,1.4,93.918,-42.7,4.968,5228.1,0,0,0,0,0,0,1,0,0,0,1,0
